participants_answers_table,,,,,,,,,,,,,,,,,,,,,,
participantId,participantShort,horizontal-bar-chart-1,horizontal-bar-chart-2,horizontal-bar-chart-3,horizontal-bar-chart-4,horizontal-bar-chart-5,horizontal-bar-chart-6,horizontal-bar-chart-7,pie-chart-1,pie-chart-2,pie-chart-3,pie-chart-4,pie-chart-5,pie-chart-6,pie-chart-7,vertical-bar-chart-1,vertical-bar-chart-2,vertical-bar-chart-3,vertical-bar-chart-4,vertical-bar-chart-5,vertical-bar-chart-6,vertical-bar-chart-7
CORRECT,CORRECT,20,26,65,38,39,76,89,11,12,32,47,55,85,90,22,25,67,45,58,78,88
17e53273-c351-420b-8f39-3d69c60a05d4,17e53273,30,30,10,16,23,7,3,80,20,25,65,30,55,49,35,20,11,15,12,8,3
cca1cf15-fb1c-4842-acc6-2c3494390bd4,cca1cf15,70,25,6,45,45,75,92,80,87,76,68,55,80,5,30,20,15,40,32,8,3
383872ce-15b8-447f-93d9-4bf574ae5e0e,383872ce,80,74,53,62,62,25,11,67,75,70,33,33,50,18,78,30,33,55,74,22,12
dbfce7f5-ca59-4602-9024-34020b497706,dbfce7f5,30,30,10,15,20,8,4,90,80,75,70,35,55,55,35,20,10,15,15,8,5
f6aa1220-d2b1-4d1f-8116-e5b2d9595e5d,f6aa1220,40,30,10,20,20,10,5,95,95,75,66,45,65,45,50,18,8,17,16,10,5
2e496d46-c265-4fee-8e43-e88b8a17d058,2e496d46,29,27,65,39,38,76,89,17,18,75,33,33,90,54,22,25,67,45,58,75,92
05bee259-ef69-43a1-893d-6ee0c7ba06fb,05bee259,18,26,65,63,41,76,13,18,82,16,49,67,82,82,22,25,50,45,58,78,13
da526538-67b5-48d4-a910-647eb9d80c2b,da526538,17,25,62,41,43,76,92,90,11,25,33,65,82,55,22,25,69,44,56,72,92
0a77b4d8-896e-48c4-aeb6-8cfec64d794b,0a77b4d8,80,60,33,62,60,21,7,75,75,67,52,52,18,18,78,71,33,55,42,23,12
4e6f38aa-495f-421c-aa44-f1233da9d44b,4e6f38aa,20,28,65,38,41,76,89,9,11,27,33,33,10,5,22,25,7,45,58,75,88
8d0dfba5-fd23-4309-81e5-4e4d93966b40,8d0dfba5,30,28,10,17,21,6,4,40,40,27,35,30,8,5,35,18,8,17,16,7,3
7c285e04-e8b1-4f97-bbaa-e523f9d0add6,7c285e04,20,26,65,38,38,79,89,12,43,22,33,33,45,45,22,25,67,42,55,78,88
bcabc7c5-5e82-4673-9912-f77e261e250f,bcabc7c5,20,27,65,40,41,76,89,9,11,32,49,54,89,92,22,25,67,44,58,78,88
18565b57-51a9-4960-862f-8aca7261b041,18565b57,1,27,65,40,39,79,92,18,14,30,43,54,82,82,22,25,67,45,58,75,88
7fdc200c-e088-4db1-8f63-bc1e7ae63aa1,7fdc200c,20,25,66,36,40,70,8,11,11,32,53,43,69,70,22,25,67,47,56,78,88
a447d9eb-3640-470b-a188-a26d881a5a3f,a447d9eb,21,27,65,40,41,76,92,11,11,45,39,49,89,92,22,25,67,45,58,78,88
2ecd38d1-3fec-4b31-978c-d66aae6ebe8e,2ecd38d1,25,25,60,67,30,75,80,10,10,25,33,50,50,100,20,20,60,50,60,75,80
053e5d96-e0ad-4dda-87fa-d6bd5dae1952,053e5d96,28,28,8,18,21,8,4,80,80,52,33,33,4,4,35,18,8,17,14,8,2
49875a33-f708-4975-87a7-17b75a484870,49875a33,82,75,35,60,66,20,5,83,78,50,35,33,7,5,78,80,33,60,33,12,10
8e226fc5-9d4b-4829-bb07-c34d2880583d,8e226fc5,26,30,60,40,40,70,12,10,20,33,33,60,67,48,25,25,70,40,60,78,90
0296ac25-1c7e-46bf-884c-8e984c49d9b4,0296ac25,60,45,15,20,25,10,5,60,70,75,30,40,5,7,100,100,20,60,55,15,4
